zipcode,city,state,county,population,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,crime_count,crime_rate
1805,Burlington,MA,Middlesex,,,,,,,,,,,,,,
1810,Andover,MA,Essex,99603,1076225,16,14,26,0,2,6,398,2769,1455157,21,,
1812,Andover,MA,Essex,,,,,,,,,,,,,,
1813,Woburn,MA,Middlesex,,,,,,,,,,,,,,
1815,Woburn,MA,Middlesex,,,,,,,,,,,,,,
1821,Billerica,MA,Middlesex,90930,,,,,,,,,,,,,
1822,Billerica,MA,Middlesex,,,,,,,,,,,,,,
1824,Chelmsford,MA,Middlesex,74733,,,,,,,,,,,,,
1826,Dracut,MA,Middlesex,88266,,,,,,,,,,,,,
1827,Dunstable,MA,Middlesex,9537,1162225,2,11,2,0,0,,311,3635,1162225,2,,
1830,Haverhill,MA,Essex,75411,,,,,,,,,,,,,
1831,Haverhill,MA,Essex,,,,,,,,,,,,,,
1832,Haverhill,MA,Essex,66180,,,,,,,,,,,,,
1833,Georgetown,MA,Essex,24549,811750,3,6,6,0,0,2,367,2564,855608,5,,
1834,Groveland,MA,Essex,19377,922475,3,57,2,0,0,1,350,2244,832475,3,,
1835,Haverhill,MA,Essex,41046,,,,,,,,,,,,,
1840,Lawrence,MA,Essex,14199,,,,,,,,,,,,,
1841,Lawrence,MA,Essex,141675,322175,6,18,10,0,0,3,292,1437,354279,9,,
1842,Lawrence,MA,Essex,,,,,,,,,,,,,,
1843,Lawrence,MA,Essex,73275,,,,,,,,,,,,,
1844,Methuen,MA,Essex,141747,,,,,,,,,,,,,
1845,North Andover,MA,Essex,85056,,,,,,,,,,,,,
1850,Lowell,MA,Middlesex,45711,,,,,,,,,,,,,
1851,Lowell,MA,Middlesex,90570,479000,2,41,0,0,0,2,270,1842,486650,3,,
1852,Lowell,MA,Middlesex,100524,,,,,,,,,,,,,
1853,Lowell,MA,Middlesex,,,,,,,,,,,,,,
1854,Lowell,MA,Middlesex,82818,424900,7,16,14,0,4,2,325,1392,447489,8,,
1860,Merrimac,MA,Essex,19014,,,,,,,,,,,,,
1862,North Billerica,MA,Middlesex,30681,,,,,,,,,,,,,
1863,North Chelmsford,MA,Middlesex,26673,694000,5,82,6,0,0,1,345,2058,693265,6,,
1864,North Reading,MA,Middlesex,44676,,,,,,,,,,,,,
1865,Nutting Lake,MA,Middlesex,,,,,,,,,,,,,,
1866,Pinehurst,MA,Middlesex,,,,,,,,,,,,,,
1867,Reading,MA,Middlesex,71868,1066225,24,19,34,0,6,3,418,2527,1119630,29,,
1876,Tewksbury,MA,Middlesex,86001,,,,,,,,,,,,,
1879,Tyngsboro,MA,Middlesex,33915,796221,9,19,6,0,2,2,329,1913,751345,11,,
1880,Wakefield,MA,Middlesex,74199,699450,12,22,16,0,8,3,376,1879,902226,15,,
1885,West Boxford,MA,Essex,,,,,,,,,,,,,,
1886,Westford,MA,Middlesex,65853,,,,,,,,,,,,,
1887,Wilmington,MA,Middlesex,66975,,,,,,,,,,,,,
1888,Woburn,MA,Middlesex,,,,,,,,,,,,,,
1889,North Reading,MA,Middlesex,,,,,,,,,,,,,,
1890,Winchester,MA,Middlesex,64146,,,,,,,,,,,,,
1899,Andover,MA,Essex,,,,,,,,,,,,,,
1901,Lynn,MA,Essex,5067,244900,0,6,0,0,0,0,320,765,244900,0,,
1902,Lynn,MA,Essex,135417,,,,,,,,,,,,,
1903,Lynn,MA,Essex,,,,,,,,,,,,,,
1904,Lynn,MA,Essex,54609,,,,,,,,,,,,,
1905,Lynn,MA,Essex,75753,,,,,,,,,,,,,
1906,Saugus,MA,Essex,79980,,,,,,,,,,,,,
1907,Swampscott,MA,Essex,42081,1122000,15,29,10,0,4,6,361,3355,1772393,21,,
1908,Nahant,MA,Essex,10230,871500,5,28,2,0,0,2,555,1712,876031,6,,
1910,Lynn,MA,Essex,,,,,,,,,,,,,,
1913,Amesbury,MA,Essex,48849,,,,,,,,,,,,,
1915,Beverly,MA,Essex,118506,572450,13,16,20,0,0,4,422,1525,1144016,17,,
1921,Boxford,MA,Essex,23883,1124249,9,39,8,0,0,2,329,3395,1286349,11,,
1922,Byfield,MA,Essex,9324,,,,,,,,,,,,,
1923,Danvers,MA,Essex,79026,749450,10,24,12,0,2,2,402,2270,875099,12,,
1929,Essex,MA,Essex,10512,1887500,3,49,2,0,0,1,433,4392,1995833,3,,
1930,Gloucester,MA,Essex,86367,,,,,,,,,,,,,
1931,Gloucester,MA,Essex,,,,,,,,,,,,,,
1936,Hamilton,MA,Essex,,,,,,,,,,,,,,
1937,Hathorne,MA,Essex,453,,,,,,,,,,,,,
